date,SFOE,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH
2015-01-01,1060.6,27.40443,2.13013,5.03549,82.54975,24.28204,6.20623,24.96621,9.13447,1.28395,9.26705,9.57152,32.27283,8.02122,1.26133,0.95039,43.29387,5.12325,27.21535,6.87705,23.17258,23.3487,1.24998,32.43604,26.33447,7.58667,32.99859
2015-02-01,1088.4,33.78234,2.39885,5.50843,93.44183,25.94772,6.59799,30.18657,10.24637,1.66159,9.92527,11.14011,36.12245,10.72879,1.46149,1.16683,51.80475,5.54582,28.66776,7.77923,27.47188,28.36729,1.34561,38.92745,30.51271,8.9784,37.7451
2015-03-01,1116.2,34.06501,2.43475,5.53917,93.83079,26.11537,6.6497,30.31242,10.34154,1.67876,9.94705,11.18179,36.27003,10.76703,1.47628,1.16683,52.09925,5.61101,28.78935,7.82242,27.78104,28.79813,1.34561,39.2559,30.71556,9.20345,38.08503
2015-04-01,1144,34.48326,2.45119,5.68139,94.56794,26.37207,6.67785,30.70475,10.40971,1.70776,10.13376,11.2572,36.74211,10.96494,1.50134,1.20925,52.70751,5.75222,28.9845,8.19786,28.14013,29.0976,1.35524,39.86208,31.06501,9.29844,39.06872
2015-05-01,1171.7,35.88648,2.50892,5.77185,97.62481,26.87433,6.72593,31.47147,10.5211,1.82911,10.52344,11.32421,37.39122,11.2642,1.5185,1.26662,54.0259,5.90788,29.35193,8.34465,28.58137,29.49023,1.38044,41.65451,31.61005,9.33764,39.65224
2015-06-01,1199.5,37.26284,2.5925,5.87351,99.87738,27.24424,6.73337,34.83136,10.68264,1.86942,10.96177,11.56803,38.78944,12.07981,1.5482,1.34467,55.51728,6.0629,29.86156,8.68912,30.72343,30.29502,1.42434,42.64425,32.731,9.53301,42.2984
2015-07-01,1227.3,38.97212,2.66805,6.10812,102.90668,27.70725,6.80208,37.72064,11.32891,1.91507,11.24167,11.69942,39.9586,12.75779,1.5594,1.379,58.21631,6.20088,30.54363,8.95593,31.60735,30.96218,1.46367,44.34644,33.40293,9.77669,43.51213
2015-08-01,1255.1,44.48209,2.75136,6.94374,113.53672,29.35042,7.20539,44.82638,15.33543,2.03556,12.84869,12.51892,48.00973,16.14626,1.66383,1.50686,64.01004,6.54167,33.17435,9.96057,34.69539,36.7806,1.52109,57.41189,37.20996,10.60858,49.49253
2015-09-01,1282.9,44.70611,2.77528,7.03577,114.03053,29.58673,7.2128,45.21686,15.46438,2.06942,12.95586,12.57172,48.18429,16.2508,1.66383,1.50686,64.63861,6.56039,33.24518,10.01759,34.92158,36.81205,1.52109,57.79583,37.42709,10.6447,49.71749
2015-10-01,1310.7,45.77925,2.81758,7.20668,114.86454,29.82479,7.26358,45.6153,15.63565,2.09095,13.12833,12.702,48.63548,16.5932,1.69347,1.5505,65.68569,6.5906,33.61622,10.06419,35.24614,37.26641,1.55556,58.45035,37.65491,10.77572,50.31396
2015-11-01,1338.4,46.57008,2.88702,7.31629,116.78246,29.99882,7.29269,45.95612,15.74179,2.09838,13.69583,12.74713,49.13189,16.81369,1.74313,1.5505,66.45912,6.78418,34.04691,10.18492,35.53205,39.29373,1.58116,59.03387,38.11294,11.22039,50.96622
2015-12-01,1366.2,46.96691,2.88702,7.31629,117.58098,30.1604,7.30475,46.3661,15.76461,2.10438,13.71856,13.04166,49.30642,16.95909,1.74313,1.56852,66.7538,7.1045,34.1667,10.22881,36.0577,39.5016,1.58956,59.85647,38.21273,11.2779,51.78699
2016-01-01,1394,47.84039,2.88702,7.34825,119.22283,30.38539,7.35174,46.8193,15.99088,2.13772,13.82793,13.351,50.43259,17.13202,1.75528,1.5728,67.22273,7.15454,34.22934,10.29999,36.73542,39.91249,1.60846,61.79363,38.41382,11.34747,52.24891
2016-02-01,1416.5,49.05752,2.92843,7.4485,122.1775,30.90469,7.57253,51.26719,17.04808,2.16998,13.94083,14.66925,53.15054,17.64147,1.81042,1.65638,70.50873,7.2506,34.63595,10.96887,38.66215,41.31244,1.62769,65.10055,39.73292,11.57913,55.31533
2016-03-01,1439,49.615,2.98282,8.09021,123.5455,31.16834,7.60285,51.87081,17.18206,2.19118,14.14457,14.83235,53.98326,17.92445,1.81987,1.83744,71.39835,7.30013,34.80574,11.09533,39.4546,41.91444,1.64651,66.70084,40.27609,11.74572,56.70149
2016-04-01,1461.6,50.41161,3.05329,8.18946,124.98186,31.42638,7.63178,52.54198,17.23068,2.19718,14.40413,14.94068,54.66794,18.16198,1.88658,1.90658,72.03378,7.34546,34.97176,11.29788,40.33606,42.30713,1.67021,68.07361,40.72277,11.97108,57.4495
2016-05-01,1484.1,51.50471,3.06967,8.2592,126.65843,31.75198,8.01698,53.29499,17.49556,2.22022,14.79864,15.03053,55.40589,18.7024,1.88886,1.93414,73.10472,7.46079,35.87124,11.6204,41.34385,43.3056,1.68755,69.19147,41.25304,12.46377,58.55441
2016-06-01,1506.6,52.43847,3.10801,8.31547,128.49241,31.99417,8.10402,54.73065,17.79156,2.22886,15.11713,15.08805,56.14541,18.90863,1.90644,1.97732,74.21855,7.65773,36.00668,11.81424,42.0075,43.82213,1.71861,70.18335,41.69912,12.79307,59.91318
2016-07-01,1529.1,53.37503,3.10801,8.38531,130.39391,32.47202,8.22553,55.41637,18.30462,2.47405,15.5171,15.2941,57.03427,19.66805,1.90644,2.04991,75.48363,7.71687,36.23283,11.95518,42.86691,44.27818,1.71861,71.75371,42.15236,12.9376,62.12653
2016-08-01,1551.6,55.40699,3.15415,8.53622,134.11613,33.88145,8.4282,57.28935,20.56116,2.53102,15.73145,20.89943,58.40796,20.50734,1.90644,2.08689,77.16695,7.86615,36.68475,12.31957,44.50674,45.77886,1.76072,74.11692,42.82496,13.22021,64.25399
2016-09-01,1574.1,57.19637,3.1966,8.70676,136.41447,34.08851,8.44551,57.94332,20.67612,2.5676,16.17369,21.19184,59.15573,20.82358,1.94237,2.08689,78.1277,7.98425,37.0645,12.58429,45.52182,46.24741,1.80118,75.47978,43.4246,13.27534,65.66995
2016-10-01,1596.7,58.47541,3.27911,8.74721,139.0945,34.34285,8.57073,59.22234,20.86021,2.57311,16.48857,21.33819,60.09989,21.31982,2.02638,2.14672,79.50096,8.1989,37.6684,12.75702,46.07406,46.64627,1.81458,77.54757,44.11553,13.36775,67.34442
2016-11-01,1619.2,59.82783,3.30135,8.81573,142.25752,34.78092,8.58484,59.80928,21.20582,2.59411,16.87008,21.44445,62.00398,22.21993,2.06024,2.29046,81.38056,8.3246,37.96619,12.93618,47.13919,47.65135,1.82514,79.29386,45.05392,13.45843,69.45426
2016-12-01,1641.7,60.25289,3.35249,8.8277,142.70524,35.22187,8.65096,60.28654,21.34419,2.59411,16.88706,21.50181,62.6292,22.30399,2.06024,2.29462,81.59551,8.37249,38.01061,12.98248,47.48427,48.30437,1.82514,79.94932,45.34185,13.48807,69.90563
2017-01-01,1664.2,61.00731,3.4458,8.91102,144.34846,35.46555,8.66184,60.76612,21.51273,2.69959,17.0796,21.62575,63.53232,22.5503,2.06024,2.36066,82.41188,8.54745,38.53751,13.18302,48.35835,48.78537,1.83666,81.11486,45.81139,13.78265,71.03969
2017-02-01,1684.4,64.24035,3.52638,9.20125,149.03602,36.32119,9.04207,64.28221,23.16141,2.72847,17.96675,22.3743,66.25552,23.31144,2.15942,2.42337,85.59265,10.33636,40.74911,13.88258,50.06089,52.56395,1.92571,85.08308,47.66265,14.45459,75.57157
2017-03-01,1704.6,64.6064,3.54259,9.20749,149.82841,36.49237,9.76128,64.66283,23.29258,2.73407,18.09255,22.41751,66.51146,23.48438,2.1792,2.44578,85.97425,10.36128,41.0448,13.92579,50.30079,52.61047,1.94427,86.34457,47.88449,14.51511,77.33841
